# salience_rank	word	lift_rank	zipf	salience	lift	tf	idf	z_eff
# salience = 100 * sqrt(tf * idf); tf = norm(log10 modelled lift), idf = norm(8 - z_eff)
# z_eff = zipf, minus 1.5 if hyphenated, floored at 0.8 when wordfreq does not know the word
# scan.sh reads columns 1, 2 and 5; the rest show the working
# regenerate: uv run --with wordfreq --python 3.12 tools/rescore.py
174	vanished	167	3.72	34.3	8.5	0.259	0.453	3.72
175	sweep	137	3.97	34.2	9.1	0.288	0.406	3.97
176	reds	145	3.91	34.2	8.9	0.280	0.418	3.91
177	predating	329	2.27	34.2	7.0	0.161	0.725	2.27
178	landed	104	4.24	34.1	9.8	0.328	0.356	4.24
179	divergences	333	2.25	34.1	7.0	0.159	0.728	2.25
180	widening	206	3.44	34.0	8.0	0.229	0.506	3.44
181	unresolvable	386	1.65	34.0	6.7	0.138	0.841	1.65
182	decodes	360	1.99	33.9	6.8	0.148	0.777	1.99
183	holds	65	4.60	33.8	11.3	0.396	0.288	4.60
184	prose	178	3.72	33.7	8.4	0.250	0.453	3.72
185	disjoint	318	2.48	33.7	7.0	0.166	0.685	2.48
186	cited	105	4.29	33.6	9.8	0.326	0.346	4.29
187	reaches	122	4.16	33.6	9.4	0.305	0.371	4.16
188	demonstrably	290	2.78	33.6	7.2	0.179	0.629	2.78
189	consults	293	2.75	33.6	7.2	0.178	0.635	2.75
190	behaviour-preserving	353	3.64	33.6	6.8	0.151	0.749	2.14
191	repointed	431	1.19	33.6	6.4	0.122	0.927	1.19
192	stashed	273	2.95	33.5	7.4	0.188	0.597	2.95
193	hand-rolled	303	4.18	33.5	7.2	0.173	0.648	2.68
194	swallows	245	3.21	33.4	7.6	0.204	0.549	3.21
195	regen	332	2.41	33.4	7.0	0.160	0.699	2.41
196	whoever	93	4.42	33.3	10.2	0.344	0.322	4.42
197	worse	39	4.89	33.2	13.2	0.470	0.234	4.89
198	tripped	224	3.43	33.2	7.8	0.217	0.507	3.43
199	ratified	226	3.41	33.2	7.8	0.215	0.511	3.41
200	keyed	286	2.89	33.2	7.3	0.181	0.609	2.89
201	unbuilt	377	1.97	33.2	6.7	0.141	0.781	1.97
202	modelled	246	3.25	33.1	7.6	0.203	0.541	3.25
203	invariant	275	3.03	33.0	7.4	0.187	0.582	3.03
204	predicate	294	2.85	33.0	7.2	0.177	0.616	2.85
205	uncapped	334	2.47	33.0	6.9	0.159	0.687	2.47
206	filed	89	4.49	32.9	10.3	0.350	0.309	4.49
207	faithful	141	4.10	32.9	9.0	0.284	0.382	4.10
208	proves	146	4.06	32.9	8.9	0.279	0.390	4.06
209	round-2	210	5.08	32.9	8.0	0.226	0.479	3.58
210	ratchet	263	3.15	32.9	7.5	0.193	0.560	3.15
211	caveat	265	3.15	32.8	7.4	0.192	0.560	3.15
212	carried	56	4.77	32.7	11.8	0.417	0.257	4.77
213	obligation	149	4.07	32.7	8.8	0.276	0.388	4.07
214	shipped	156	4.03	32.6	8.7	0.269	0.395	4.03
215	buys	169	3.93	32.6	8.5	0.257	0.414	3.93
216	post-fix	267	4.67	32.6	7.4	0.191	0.556	3.17
217	staleness	414	1.70	32.6	6.5	0.128	0.831	1.70
218	guessed	200	3.72	32.5	8.1	0.233	0.453	3.72
219	whichever	207	3.70	32.3	8.0	0.228	0.457	3.70
220	re-checked	299	4.46	32.3	7.2	0.175	0.596	2.96
221	proven	121	4.33	32.2	9.4	0.306	0.339	4.33
222	corpus	217	3.64	32.2	7.9	0.221	0.468	3.64
223	no-ops	370	3.80	32.2	6.7	0.144	0.719	2.30
224	sibling	222	3.61	32.1	7.8	0.218	0.474	3.61
225	diverge	317	2.83	32.1	7.1	0.166	0.620	2.83
226	asserting	258	3.35	32.0	7.5	0.196	0.522	3.35
227	shortfall	297	3.02	32.0	7.2	0.176	0.584	3.02
228	fail-loud	326	4.27	32.0	7.0	0.162	0.631	2.77
229	materializes	387	2.17	32.0	6.6	0.137	0.743	2.17
230	hand-maintained	320	4.34	31.9	7.0	0.165	0.618	2.84
231	fleet-wide	331	4.24	31.9	7.0	0.160	0.637	2.74
232	sigkill	495	0.00	31.9	6.2	0.102	1.000	0.80
233	answerable	340	2.69	31.8	6.9	0.156	0.646	2.69
234	mutants	256	3.42	31.7	7.5	0.197	0.509	3.42
235	graded	254	3.45	31.6	7.5	0.198	0.504	3.45
236	fan-out	259	4.91	31.6	7.5	0.196	0.511	3.41
237	headroom	349	2.63	31.6	6.9	0.152	0.657	2.63
238	mutant	232	3.64	31.5	7.7	0.212	0.468	3.64
239	evicts	437	1.71	31.5	6.4	0.120	0.830	1.71
240	died	21	5.20	31.4	15.9	0.559	0.176	5.20
241	swallowed	233	3.64	31.4	7.7	0.211	0.468	3.64
242	contradicts	295	3.16	31.4	7.2	0.177	0.558	3.16
243	footgun	506	0.00	31.4	6.1	0.099	1.000	0.80
244	lands	129	4.37	31.3	9.2	0.296	0.331	4.37
245	reclaims	398	2.23	31.3	6.6	0.133	0.732	2.23
246	earns	249	3.56	31.2	7.6	0.201	0.483	3.56
247	hand-written	268	4.92	31.2	7.4	0.191	0.509	3.42
248	arms	67	4.82	31.1	11.2	0.391	0.247	4.82
249	discards	367	2.58	31.1	6.8	0.145	0.667	2.58
250	deduped	513	0.00	31.1	6.1	0.097	1.000	0.80
251	neighbour	237	3.69	30.9	7.7	0.208	0.459	3.69
252	honest	83	4.73	30.8	10.5	0.360	0.264	4.73
253	agrees	183	4.08	30.8	8.3	0.246	0.386	4.08
254	verdict	191	4.03	30.8	8.2	0.240	0.395	4.03
255	fall-through	257	5.06	30.8	7.5	0.197	0.483	3.56
256	reproduced	271	3.46	30.8	7.4	0.189	0.502	3.46
257	fabricated	269	3.51	30.6	7.4	0.190	0.493	3.51
258	iff	374	2.63	30.6	6.7	0.142	0.657	2.63
259	predated	390	2.46	30.6	6.6	0.136	0.689	2.46
260	invented	175	4.17	30.5	8.4	0.252	0.369	4.17
261	clobbered	405	2.34	30.5	6.6	0.131	0.712	2.34
262	mtime	526	0.00	30.5	6.1	0.093	1.000	0.80
263	recovers	304	3.27	30.4	7.1	0.172	0.537	3.27
264	drifts	341	2.98	30.4	6.9	0.156	0.592	2.98
265	twelve	151	4.35	30.3	8.8	0.274	0.335	4.35
266	divergence	319	3.17	30.3	7.0	0.165	0.556	3.17
267	round-trips	375	4.18	30.3	6.7	0.142	0.648	2.68
268	ruled	165	4.30	30.0	8.6	0.261	0.345	4.30
269	citing	221	3.94	30.0	7.9	0.219	0.412	3.94
270	re-confirmed	342	4.56	29.9	6.9	0.155	0.577	3.06
271	flips	316	3.29	29.8	7.1	0.167	0.534	3.29
272	whose	48	5.07	29.7	12.4	0.440	0.200	5.07
273	answered	168	4.32	29.7	8.5	0.258	0.341	4.32
274	forever	100	4.74	29.6	10.0	0.333	0.262	4.74
275	converged	371	2.91	29.5	6.7	0.144	0.605	2.91
276	predate	404	2.59	29.5	6.6	0.131	0.665	2.59
277	armed	131	4.59	29.2	9.2	0.294	0.290	4.59
278	re-runs	348	4.69	29.1	6.9	0.153	0.552	3.19
279	on-disk	423	4.01	29.1	6.5	0.125	0.680	2.51
280	absorbed	247	3.92	29.0	7.6	0.202	0.416	3.92
281	gains	197	4.25	28.9	8.1	0.235	0.354	4.25
282	trusting	279	3.72	28.9	7.3	0.185	0.453	3.72
283	arming	357	3.14	28.9	6.8	0.149	0.562	3.14
284	outlive	410	2.72	28.8	6.5	0.129	0.640	2.72
285	fourteen	260	3.88	28.7	7.5	0.195	0.423	3.88
